,0
100,[0.         0.         0.00093371 0.00139326 0.00066206]
101,[ 0.          0.         -0.00054356 -0.00064525 -0.00140178]
102,[ 0.          0.          0.00142449  0.00103247 -0.0001248 ]
103,[ 0.          0.         -0.00317979 -0.00243056  0.00025453]
104,[ 0.          0.         -0.00102538  0.00208354 -0.00032304]
105,[ 0.          0.          0.00078887  0.00250936 -0.00091624]
106,[ 0.          0.         -0.00055459 -0.00214612 -0.00120068]
107,[ 0.          0.          0.0011704  -0.0016185  -0.00048442]
108,[ 0.          0.         -0.00205052  0.00125104 -0.00083107]
109,[ 0.          0.         -0.00194871  0.00113213  0.0018031 ]
110,[ 0.          0.         -0.00189525  0.00116956  0.00275326]
111,[ 0.          0.         -0.00141847 -0.00188762  0.0012244 ]
112,[0.         0.         0.00101173 0.00079155 0.00141466]
113,[0.         0.         0.00115675 0.00083551 0.00088716]
114,[ 0.          0.         -0.00135338 -0.00161618 -0.00170153]
115,"[ 0.0000000e+00  0.0000000e+00  2.0138025e-03 -1.3278127e-03
 -7.7765435e-05]"
116,[ 0.          0.         -0.00216305 -0.00027063 -0.00225127]
117,[ 0.          0.         -0.00078341  0.00316656  0.00010432]
118,[ 0.          0.         -0.00129229  0.00235307 -0.00265968]
119,[0.         0.         0.00172794 0.00083968 0.00128424]
120,[ 0.          0.          0.00085309 -0.00142968 -0.00014795]
121,[0.         0.         0.00199294 0.00010715 0.00182956]
122,[ 0.          0.          0.0012567   0.0020448  -0.00018185]
123,[ 0.          0.          0.00122982 -0.00122303 -0.00314724]
124,[ 0.          0.         -0.00135809  0.00309432 -0.00097418]
125,"[ 0.0000000e+00  0.0000000e+00 -1.2460351e-03  1.2658834e-03
 -5.8077276e-05]"
126,[ 0.          0.         -0.00142229  0.00115103  0.00198078]
127,[ 0.          0.          0.00110793  0.00287187 -0.0022862 ]
128,[ 0.          0.         -0.00131273 -0.0008221   0.00147086]
129,[ 0.          0.         -0.00130999 -0.00238836 -0.00092167]
130,[ 0.          0.         -0.00093165  0.0161972  -0.00349414]
131,[ 0.          0.          0.00174564  0.00071132 -0.00098097]
132,[ 0.          0.          0.00344014  0.00264561 -0.00042637]
133,[ 0.          0.          0.00057548 -0.0018757  -0.00169802]
134,[ 0.          0.         -0.00208962 -0.00071698  0.00017837]
135,[ 0.          0.          0.00113559 -0.00268102 -0.00016903]
136,[ 0.          0.          0.00060949  0.00111949 -0.0008195 ]
137,"[ 0.0000000e+00  0.0000000e+00 -1.4288425e-03 -1.3187528e-03
  7.6632947e-05]"
138,[ 0.          0.         -0.00193852  0.00123334  0.00221968]
139,[ 0.          0.         -0.00111514  0.0017789   0.00052914]
140,[ 0.          0.          0.00060588  0.00151998 -0.00028734]
141,[0.         0.         0.00229859 0.00068194 0.00169373]
142,[ 0.          0.          0.00117987  0.00244689 -0.00138235]
143,[ 0.          0.         -0.00262249 -0.00046819  0.00012536]
144,[ 0.          0.          0.00153774 -0.00055325  0.00317168]
145,[ 0.          0.         -0.00181586  0.00244546  0.00044443]
146,[ 0.          0.          0.00034039  0.00134242 -0.00148338]
147,[ 0.          0.         -0.0016672   0.00178343 -0.00127268]
148,[ 0.          0.          0.00733399 -0.00198352 -0.00303686]
149,[ 0.          0.         -0.00099236  0.0020169   0.00105858]
150,[ 0.          0.         -0.00147289  0.00167739  0.00112784]
151,[ 0.          0.          0.00125128 -0.00041036 -0.00074574]
152,[ 0.          0.         -0.00070003  0.00065035 -0.00160414]
153,[ 0.          0.          0.0015316  -0.00041512  0.00016087]
154,[ 0.          0.         -0.00140667  0.00158     0.00121391]
155,[ 0.          0.          0.00221848 -0.00157028  0.00034049]
156,[0.         0.         0.00868988 0.00045714 0.00293207]
157,[ 0.          0.          0.00297821 -0.00218642  0.00240386]
158,[ 0.          0.         -0.00122762 -0.00121796  0.00086477]
159,[ 0.          0.          0.0010187  -0.00081077 -0.00012542]
160,[ 0.          0.         -0.00184387 -0.00054955  0.00065899]
161,[ 0.          0.          0.00092164  0.00101078 -0.00013048]
162,[ 0.          0.          0.00124925 -0.0011149   0.00064188]
163,[0.         0.         0.00084719 0.0022366  0.00232196]
164,[ 0.          0.          0.00129402 -0.00055456 -0.00359595]
165,[ 0.          0.          0.00051114 -0.0018903  -0.00137067]
166,[ 0.          0.          0.00149769 -0.00155169 -0.00053403]
167,[ 0.          0.         -0.00149858  0.00162584 -0.00066847]
168,[ 0.          0.          0.00120199  0.00108308 -0.00111556]
169,[ 0.          0.          0.00057936 -0.00188625 -0.00142175]
